,Sample,Cluster
0,TCGA-A1-A0SD-01,5
1,TCGA-A1-A0SE-01,5
2,TCGA-A1-A0SF-01,5
3,TCGA-A1-A0SG-01,5
4,TCGA-A1-A0SH-01,5
5,TCGA-A1-A0SI-01,5
6,TCGA-A1-A0SJ-01,5
7,TCGA-A1-A0SK-01,5
8,TCGA-A1-A0SM-01,5
9,TCGA-A1-A0SN-01,5
10,TCGA-A1-A0SP-01,5
11,TCGA-A1-A0SQ-01,5
12,TCGA-A2-A04N-01,5
13,TCGA-A2-A04P-01,5
14,TCGA-A2-A04Q-01,5
15,TCGA-A2-A04R-01,5
16,TCGA-A2-A04T-01,5
17,TCGA-A2-A04U-01,5
18,TCGA-A2-A04V-01,5
19,TCGA-A2-A04W-01,5
20,TCGA-A2-A04X-01,5
21,TCGA-A2-A04Y-01,5
22,TCGA-A2-A0CK-01,5
23,TCGA-A2-A0CL-01,5
24,TCGA-A2-A0CM-01,0
25,TCGA-A2-A0CP-01,5
26,TCGA-A2-A0CQ-01,5
27,TCGA-A2-A0CR-01,5
28,TCGA-A2-A0CS-01,5
29,TCGA-A2-A0CT-01,5
30,TCGA-A2-A0CU-01,5
31,TCGA-A2-A0CV-01,5
32,TCGA-A2-A0CW-01,5
33,TCGA-A2-A0CX-01,5
34,TCGA-A2-A0D0-01,0
35,TCGA-A2-A0D1-01,5
36,TCGA-A2-A0D2-01,0
37,TCGA-A2-A0D3-01,5
38,TCGA-A2-A0D4-01,5
39,TCGA-A2-A0EM-01,5
40,TCGA-A2-A0EN-01,5
41,TCGA-A2-A0EO-01,5
42,TCGA-A2-A0EP-01,5
43,TCGA-A2-A0EQ-01,5
44,TCGA-A2-A0ER-01,5
45,TCGA-A2-A0ES-01,5
46,TCGA-A2-A0ET-01,5
47,TCGA-A2-A0EU-01,5
48,TCGA-A2-A0EV-01,5
49,TCGA-A2-A0EW-01,5
50,TCGA-A2-A0EX-01,5
51,TCGA-A2-A0EY-01,5
52,TCGA-A2-A0ST-01,5
53,TCGA-A2-A0SU-01,5
54,TCGA-A2-A0SV-01,5
55,TCGA-A2-A0SW-01,5
56,TCGA-A2-A0SX-01,5
57,TCGA-A2-A0SY-01,5
58,TCGA-A2-A0T0-01,5
59,TCGA-A2-A0T1-01,5
60,TCGA-A2-A0T2-01,0
61,TCGA-A2-A0T3-01,5
62,TCGA-A2-A0T4-01,5
63,TCGA-A2-A0T5-01,5
64,TCGA-A2-A0T6-01,5
65,TCGA-A2-A0T7-01,5
66,TCGA-A2-A0YC-01,5
67,TCGA-A2-A0YD-01,5
68,TCGA-A2-A0YE-01,5
69,TCGA-A2-A0YF-01,5
70,TCGA-A2-A0YG-01,5
71,TCGA-A2-A0YH-01,5
72,TCGA-A2-A0YI-01,5
73,TCGA-A2-A0YJ-01,0
74,TCGA-A2-A0YK-01,5
75,TCGA-A2-A0YL-01,5
76,TCGA-A2-A0YM-01,5
77,TCGA-A2-A0YT-01,5
78,TCGA-A2-A1FV-01,5
79,TCGA-A2-A1FW-01,5
80,TCGA-A2-A1FX-01,5
81,TCGA-A2-A1FZ-01,5
82,TCGA-A2-A1G0-01,5
83,TCGA-A2-A1G1-01,5
84,TCGA-A2-A1G4-01,5
85,TCGA-A2-A1G6-01,5
86,TCGA-A2-A259-01,5
87,TCGA-A2-A25A-01,5
88,TCGA-A2-A25B-01,5
89,TCGA-A2-A25C-01,5
90,TCGA-A2-A25D-01,5
91,TCGA-A2-A25E-01,5
92,TCGA-A2-A25F-01,5
93,TCGA-A2-A3KD-01,5
94,TCGA-A2-A3XT-01,5
95,TCGA-A2-A3XU-01,0
96,TCGA-A2-A3XV-01,0
97,TCGA-A2-A3XW-01,5
98,TCGA-A2-A3XX-01,5
99,TCGA-A2-A3XZ-01,5
100,TCGA-A2-A3Y0-01,5
101,TCGA-A2-A4S1-01,1
102,TCGA-A2-A4S2-01,5
103,TCGA-A2-A4S3-01,5
104,TCGA-A7-A0CD-01,5
105,TCGA-A7-A0CE-01,5
106,TCGA-A7-A0CG-01,5
107,TCGA-A7-A0CJ-01,5
108,TCGA-A7-A0D9-01,5
109,TCGA-A7-A0DA-01,5
110,TCGA-A7-A0DB-01,5
111,TCGA-A7-A13D-01,5
112,TCGA-A7-A13E-01,0
113,TCGA-A7-A13F-01,5
114,TCGA-A7-A13G-01,5
115,TCGA-A7-A26E-01,5
116,TCGA-A7-A26F-01,5
117,TCGA-A7-A26G-01,5
118,TCGA-A7-A26H-01,5
119,TCGA-A7-A26I-01,5
