,Sample,Cluster
0,TCGA-A1-A0SD-01,0
1,TCGA-A1-A0SE-01,5
2,TCGA-A1-A0SF-01,5
3,TCGA-A1-A0SG-01,5
4,TCGA-A1-A0SH-01,0
5,TCGA-A1-A0SI-01,0
6,TCGA-A1-A0SJ-01,0
7,TCGA-A1-A0SK-01,1
8,TCGA-A1-A0SM-01,5
9,TCGA-A1-A0SN-01,5
10,TCGA-A1-A0SP-01,0
11,TCGA-A1-A0SQ-01,5
12,TCGA-A2-A04N-01,5
13,TCGA-A2-A04P-01,0
14,TCGA-A2-A04Q-01,0
15,TCGA-A2-A04R-01,5
16,TCGA-A2-A04T-01,0
17,TCGA-A2-A04U-01,0
18,TCGA-A2-A04V-01,5
19,TCGA-A2-A04W-01,0
20,TCGA-A2-A04X-01,5
21,TCGA-A2-A04Y-01,5
22,TCGA-A2-A0CK-01,0
23,TCGA-A2-A0CL-01,0
24,TCGA-A2-A0CM-01,0
25,TCGA-A2-A0CP-01,5
26,TCGA-A2-A0CQ-01,5
27,TCGA-A2-A0CR-01,0
28,TCGA-A2-A0CS-01,5
29,TCGA-A2-A0CT-01,5
30,TCGA-A2-A0CU-01,5
31,TCGA-A2-A0CV-01,0
32,TCGA-A2-A0CW-01,5
33,TCGA-A2-A0CX-01,5
34,TCGA-A2-A0D0-01,0
35,TCGA-A2-A0D1-01,5
36,TCGA-A2-A0D2-01,0
37,TCGA-A2-A0D3-01,5
38,TCGA-A2-A0D4-01,5
39,TCGA-A2-A0EM-01,5
40,TCGA-A2-A0EN-01,0
41,TCGA-A2-A0EO-01,0
42,TCGA-A2-A0EP-01,0
43,TCGA-A2-A0EQ-01,5
44,TCGA-A2-A0ER-01,5
45,TCGA-A2-A0ES-01,0
46,TCGA-A2-A0ET-01,5
47,TCGA-A2-A0EU-01,5
48,TCGA-A2-A0EV-01,5
49,TCGA-A2-A0EW-01,0
50,TCGA-A2-A0EX-01,5
51,TCGA-A2-A0EY-01,5
52,TCGA-A2-A0ST-01,0
53,TCGA-A2-A0SU-01,5
54,TCGA-A2-A0SV-01,5
55,TCGA-A2-A0SW-01,5
56,TCGA-A2-A0SX-01,0
57,TCGA-A2-A0SY-01,5
58,TCGA-A2-A0T0-01,0
59,TCGA-A2-A0T1-01,5
60,TCGA-A2-A0T2-01,0
61,TCGA-A2-A0T3-01,0
62,TCGA-A2-A0T4-01,5
63,TCGA-A2-A0T5-01,0
64,TCGA-A2-A0T6-01,0
65,TCGA-A2-A0T7-01,0
66,TCGA-A2-A0YC-01,5
67,TCGA-A2-A0YD-01,0
68,TCGA-A2-A0YE-01,0
69,TCGA-A2-A0YF-01,5
70,TCGA-A2-A0YG-01,5
71,TCGA-A2-A0YH-01,5
72,TCGA-A2-A0YI-01,0
73,TCGA-A2-A0YJ-01,0
74,TCGA-A2-A0YK-01,0
75,TCGA-A2-A0YL-01,0
76,TCGA-A2-A0YM-01,0
77,TCGA-A2-A0YT-01,5
78,TCGA-A2-A1FV-01,1
79,TCGA-A2-A1FW-01,5
80,TCGA-A2-A1FX-01,5
81,TCGA-A2-A1FZ-01,0
82,TCGA-A2-A1G0-01,0
83,TCGA-A2-A1G1-01,0
84,TCGA-A2-A1G4-01,5
85,TCGA-A2-A1G6-01,0
86,TCGA-A2-A259-01,0
87,TCGA-A2-A25A-01,0
88,TCGA-A2-A25B-01,5
89,TCGA-A2-A25C-01,0
90,TCGA-A2-A25D-01,5
91,TCGA-A2-A25E-01,5
92,TCGA-A2-A25F-01,0
93,TCGA-A2-A3KD-01,5
94,TCGA-A2-A3XT-01,0
95,TCGA-A2-A3XU-01,0
96,TCGA-A2-A3XV-01,5
97,TCGA-A2-A3XW-01,0
98,TCGA-A2-A3XX-01,0
99,TCGA-A2-A3XZ-01,0
100,TCGA-A2-A3Y0-01,0
101,TCGA-A2-A4S1-01,2
102,TCGA-A2-A4S2-01,5
103,TCGA-A2-A4S3-01,5
104,TCGA-A7-A0CD-01,5
105,TCGA-A7-A0CE-01,0
106,TCGA-A7-A0CG-01,0
107,TCGA-A7-A0CJ-01,5
108,TCGA-A7-A0D9-01,0
109,TCGA-A7-A0DA-01,0
110,TCGA-A7-A0DB-01,5
111,TCGA-A7-A13D-01,0
112,TCGA-A7-A13E-01,0
113,TCGA-A7-A13F-01,5
114,TCGA-A7-A13G-01,5
115,TCGA-A7-A26E-01,5
116,TCGA-A7-A26F-01,0
117,TCGA-A7-A26G-01,0
118,TCGA-A7-A26H-01,5
119,TCGA-A7-A26I-01,0
120,TCGA-A7-A26J-01,0
121,TCGA-A7-A2KD-01,5
122,TCGA-A7-A3RF-01,1
123,TCGA-A7-A425-01,5
124,TCGA-A7-A4SC-01,0
125,TCGA-A7-A4SD-01,0
126,TCGA-A7-A4SE-01,0
127,TCGA-A7-A56D-01,5
128,TCGA-A7-A5ZW-01,0
129,TCGA-A7-A5ZX-01,0
130,TCGA-A8-A06O-01,5
131,TCGA-A8-A06P-01,5
132,TCGA-A8-A06Q-01,5
133,TCGA-A8-A06R-01,0
134,TCGA-A8-A06T-01,5
135,TCGA-A8-A06U-01,0
136,TCGA-A8-A06X-01,5
137,TCGA-A8-A06Y-01,5
138,TCGA-A8-A06Z-01,5
139,TCGA-A8-A075-01,5
140,TCGA-A8-A076-01,5
141,TCGA-A8-A079-01,5
142,TCGA-A8-A07B-01,5
143,TCGA-A8-A07F-01,5
144,TCGA-A8-A07G-01,0
145,TCGA-A8-A07I-01,5
146,TCGA-A8-A07J-01,0
147,TCGA-A8-A07L-01,5
148,TCGA-A8-A07O-01,0
149,TCGA-A8-A07P-01,5
150,TCGA-A8-A07U-01,0
151,TCGA-A8-A07W-01,5
152,TCGA-A8-A07Z-01,5
153,TCGA-A8-A081-01,5
154,TCGA-A8-A082-01,5
155,TCGA-A8-A083-01,5
156,TCGA-A8-A085-01,5
157,TCGA-A8-A08B-01,5
158,TCGA-A8-A08C-01,0
159,TCGA-A8-A08F-01,5
160,TCGA-A8-A08G-01,5
161,TCGA-A8-A08H-01,0
162,TCGA-A8-A08J-01,5
163,TCGA-A8-A08L-01,1
164,TCGA-A8-A08O-01,5
165,TCGA-A8-A08P-01,5
166,TCGA-A8-A08R-01,0
167,TCGA-A8-A08S-01,5
168,TCGA-A8-A08T-01,5
169,TCGA-A8-A08X-01,0
170,TCGA-A8-A08Z-01,0
171,TCGA-A8-A090-01,5
172,TCGA-A8-A091-01,5
173,TCGA-A8-A092-01,5
174,TCGA-A8-A093-01,5
175,TCGA-A8-A094-01,5
176,TCGA-A8-A095-01,5
177,TCGA-A8-A096-01,0
178,TCGA-A8-A097-01,0
179,TCGA-A8-A099-01,5
180,TCGA-A8-A09A-01,5
181,TCGA-A8-A09B-01,5
182,TCGA-A8-A09C-01,5
183,TCGA-A8-A09D-01,5
184,TCGA-A8-A09E-01,5
185,TCGA-A8-A09G-01,5
186,TCGA-A8-A09I-01,5
187,TCGA-A8-A09K-01,5
188,TCGA-A8-A09M-01,5
189,TCGA-A8-A09N-01,5
190,TCGA-A8-A09Q-01,5
191,TCGA-A8-A09T-01,5
192,TCGA-A8-A09V-01,5
193,TCGA-A8-A09W-01,5
194,TCGA-A8-A09X-01,5
195,TCGA-A8-A09Z-01,5
196,TCGA-A8-A0A1-01,5
197,TCGA-A8-A0A2-01,5
198,TCGA-A8-A0A4-01,5
199,TCGA-A8-A0A6-01,0
200,TCGA-A8-A0A7-01,0
201,TCGA-A8-A0A9-01,5
202,TCGA-A8-A0AB-01,5
203,TCGA-A8-A0AD-01,5
204,TCGA-AC-A23C-01,5
205,TCGA-AC-A23E-01,0
206,TCGA-AC-A23H-01,5
207,TCGA-AC-A2B8-01,5
208,TCGA-AC-A2BK-01,0
209,TCGA-AC-A2BM-01,5
210,TCGA-AC-A2FB-01,0
211,TCGA-AC-A2FF-01,0
212,TCGA-AC-A2FG-01,0
213,TCGA-AC-A2FO-01,5
214,TCGA-AC-A2QH-01,2
215,TCGA-AC-A3HN-01,0
216,TCGA-AC-A3OD-01,0
217,TCGA-AC-A3QP-01,0
218,TCGA-AC-A3W5-01,0
219,TCGA-AC-A3YI-01,0
220,TCGA-AC-A3YJ-01,5
221,TCGA-AC-A5EH-01,0
222,TCGA-AC-A5XS-01,5
223,TCGA-AC-A5XU-01,1
224,TCGA-AC-A62X-01,0
225,TCGA-AC-A62Y-01,5
226,TCGA-AN-A03X-01,5
227,TCGA-AN-A03Y-01,5
228,TCGA-AN-A041-01,0
229,TCGA-AN-A046-01,5
230,TCGA-AN-A049-01,5
231,TCGA-AN-A04A-01,0
232,TCGA-AN-A04C-01,5
233,TCGA-AN-A04D-01,0
234,TCGA-AN-A0AJ-01,5
235,TCGA-AN-A0AK-01,5
236,TCGA-AN-A0AL-01,0
237,TCGA-AN-A0AM-01,0
238,TCGA-AN-A0AR-01,0
239,TCGA-AN-A0AS-01,0
240,TCGA-AN-A0AT-01,0
241,TCGA-AN-A0FD-01,0
242,TCGA-AN-A0FF-01,5
243,TCGA-AN-A0FJ-01,0
244,TCGA-AN-A0FK-01,5
245,TCGA-AN-A0FL-01,0
246,TCGA-AN-A0FN-01,0
247,TCGA-AN-A0FS-01,5
248,TCGA-AN-A0FT-01,5
249,TCGA-AN-A0FV-01,5
250,TCGA-AN-A0FW-01,5
251,TCGA-AN-A0FX-01,0
252,TCGA-AN-A0FY-01,0
253,TCGA-AN-A0FZ-01,5
254,TCGA-AN-A0G0-01,0
255,TCGA-AN-A0XN-01,0
256,TCGA-AN-A0XO-01,5
257,TCGA-AN-A0XP-01,5
258,TCGA-AN-A0XR-01,5
259,TCGA-AN-A0XS-01,5
260,TCGA-AN-A0XT-01,0
261,TCGA-AN-A0XU-01,0
262,TCGA-AN-A0XV-01,0
263,TCGA-AN-A0XW-01,0
264,TCGA-AO-A03L-01,5
265,TCGA-AO-A03O-01,5
266,TCGA-AO-A03P-01,5
267,TCGA-AO-A03R-01,5
268,TCGA-AO-A03T-01,5
269,TCGA-AO-A03V-01,5
270,TCGA-AO-A0J2-01,0
271,TCGA-AO-A0J3-01,5
272,TCGA-AO-A0J4-01,0
273,TCGA-AO-A0J5-01,0
274,TCGA-AO-A0J6-01,0
275,TCGA-AO-A0J7-01,5
276,TCGA-AO-A0J8-01,5
277,TCGA-AO-A0J9-01,0
278,TCGA-AO-A0JA-01,5
279,TCGA-AO-A0JB-01,0
280,TCGA-AO-A0JC-01,0
281,TCGA-AO-A0JD-01,0
282,TCGA-AO-A0JE-01,0
283,TCGA-AO-A0JF-01,0
284,TCGA-AO-A0JI-01,5
285,TCGA-AO-A0JJ-01,0
286,TCGA-AO-A0JM-01,5
287,TCGA-AO-A124-01,0
288,TCGA-AO-A128-01,0
289,TCGA-AO-A12A-01,0
290,TCGA-AO-A12D-01,0
291,TCGA-AO-A12F-01,0
292,TCGA-AO-A12H-01,5
293,TCGA-AO-A1KO-01,0
294,TCGA-AO-A1KP-01,5
295,TCGA-AO-A1KR-01,0
296,TCGA-AO-A1KS-01,5
297,TCGA-AO-A1KT-01,5
298,TCGA-AQ-A04H-01,5
299,TCGA-AQ-A04J-01,0
