,Sample,Cluster
171,TCGA-A8-A090-01,2
172,TCGA-A8-A091-01,2
173,TCGA-A8-A092-01,2
174,TCGA-A8-A093-01,2
175,TCGA-A8-A094-01,2
176,TCGA-A8-A095-01,2
177,TCGA-A8-A096-01,2
178,TCGA-A8-A097-01,2
179,TCGA-A8-A099-01,2
180,TCGA-A8-A09A-01,2
181,TCGA-A8-A09B-01,2
182,TCGA-A8-A09C-01,2
183,TCGA-A8-A09D-01,2
184,TCGA-A8-A09E-01,2
185,TCGA-A8-A09G-01,2
186,TCGA-A8-A09I-01,2
187,TCGA-A8-A09K-01,2
188,TCGA-A8-A09M-01,2
189,TCGA-A8-A09N-01,2
190,TCGA-A8-A09Q-01,2
191,TCGA-A8-A09T-01,2
192,TCGA-A8-A09V-01,2
193,TCGA-A8-A09W-01,2
194,TCGA-A8-A09X-01,2
195,TCGA-A8-A09Z-01,2
196,TCGA-A8-A0A1-01,2
197,TCGA-A8-A0A2-01,2
198,TCGA-A8-A0A4-01,2
199,TCGA-A8-A0A6-01,2
200,TCGA-A8-A0A7-01,2
201,TCGA-A8-A0A9-01,2
202,TCGA-A8-A0AB-01,2
203,TCGA-A8-A0AD-01,2
204,TCGA-AC-A23C-01,2
205,TCGA-AC-A23E-01,2
206,TCGA-AC-A23H-01,2
207,TCGA-AC-A2B8-01,2
208,TCGA-AC-A2BK-01,2
209,TCGA-AC-A2BM-01,2
210,TCGA-AC-A2FB-01,2
211,TCGA-AC-A2FF-01,2
212,TCGA-AC-A2FG-01,2
213,TCGA-AC-A2FO-01,2
214,TCGA-AC-A2QH-01,2
215,TCGA-AC-A3HN-01,2
216,TCGA-AC-A3OD-01,2
217,TCGA-AC-A3QP-01,2
218,TCGA-AC-A3W5-01,2
219,TCGA-AC-A3YI-01,2
220,TCGA-AC-A3YJ-01,2
221,TCGA-AC-A5EH-01,2
222,TCGA-AC-A5XS-01,2
223,TCGA-AC-A5XU-01,2
224,TCGA-AC-A62X-01,2
225,TCGA-AC-A62Y-01,2
226,TCGA-AN-A03X-01,2
227,TCGA-AN-A03Y-01,2
228,TCGA-AN-A041-01,2
229,TCGA-AN-A046-01,2
230,TCGA-AN-A049-01,2
231,TCGA-AN-A04A-01,2
232,TCGA-AN-A04C-01,2
233,TCGA-AN-A04D-01,2
234,TCGA-AN-A0AJ-01,2
235,TCGA-AN-A0AK-01,2
236,TCGA-AN-A0AL-01,2
237,TCGA-AN-A0AM-01,2
238,TCGA-AN-A0AR-01,2
239,TCGA-AN-A0AS-01,2
240,TCGA-AN-A0AT-01,2
241,TCGA-AN-A0FD-01,2
242,TCGA-AN-A0FF-01,2
243,TCGA-AN-A0FJ-01,2
244,TCGA-AN-A0FK-01,2
245,TCGA-AN-A0FL-01,2
246,TCGA-AN-A0FN-01,2
247,TCGA-AN-A0FS-01,2
248,TCGA-AN-A0FT-01,2
249,TCGA-AN-A0FV-01,2
250,TCGA-AN-A0FW-01,2
251,TCGA-AN-A0FX-01,2
252,TCGA-AN-A0FY-01,2
253,TCGA-AN-A0FZ-01,2
254,TCGA-AN-A0G0-01,2
255,TCGA-AN-A0XN-01,2
256,TCGA-AN-A0XO-01,2
257,TCGA-AN-A0XP-01,2
258,TCGA-AN-A0XR-01,2
259,TCGA-AN-A0XS-01,2
260,TCGA-AN-A0XT-01,2
261,TCGA-AN-A0XU-01,2
262,TCGA-AN-A0XV-01,2
263,TCGA-AN-A0XW-01,2
264,TCGA-AO-A03L-01,2
265,TCGA-AO-A03O-01,2
266,TCGA-AO-A03P-01,2
267,TCGA-AO-A03R-01,2
268,TCGA-AO-A03T-01,2
269,TCGA-AO-A03V-01,2
270,TCGA-AO-A0J2-01,2
271,TCGA-AO-A0J3-01,2
272,TCGA-AO-A0J4-01,2
273,TCGA-AO-A0J5-01,2
274,TCGA-AO-A0J6-01,2
275,TCGA-AO-A0J7-01,2
276,TCGA-AO-A0J8-01,2
277,TCGA-AO-A0J9-01,2
278,TCGA-AO-A0JA-01,2
279,TCGA-AO-A0JB-01,2
280,TCGA-AO-A0JC-01,2
281,TCGA-AO-A0JD-01,2
282,TCGA-AO-A0JE-01,2
283,TCGA-AO-A0JF-01,2
284,TCGA-AO-A0JI-01,2
285,TCGA-AO-A0JJ-01,2
286,TCGA-AO-A0JM-01,2
287,TCGA-AO-A124-01,2
288,TCGA-AO-A128-01,2
289,TCGA-AO-A12A-01,2
290,TCGA-AO-A12D-01,2
291,TCGA-AO-A12F-01,2
292,TCGA-AO-A12H-01,2
293,TCGA-AO-A1KO-01,2
294,TCGA-AO-A1KP-01,2
295,TCGA-AO-A1KR-01,2
296,TCGA-AO-A1KS-01,2
297,TCGA-AO-A1KT-01,2
298,TCGA-AQ-A04H-01,2
299,TCGA-AQ-A04J-01,2
300,TCGA-AQ-A0Y5-01,2
301,TCGA-AQ-A1H2-01,2
302,TCGA-AQ-A1H3-01,2
303,TCGA-AQ-A54O-01,2
304,TCGA-AR-A0TS-01,2
305,TCGA-AR-A0TU-01,2
306,TCGA-AR-A0TX-01,2
307,TCGA-AR-A0TY-01,2
308,TCGA-AR-A0U0-01,2
309,TCGA-AR-A0U2-01,2
310,TCGA-AR-A0U3-01,2
311,TCGA-AR-A1AH-01,2
312,TCGA-AR-A1AI-01,2
313,TCGA-AR-A1AJ-01,2
314,TCGA-AR-A1AK-01,2
315,TCGA-AR-A1AL-01,2
316,TCGA-AR-A1AN-01,2
317,TCGA-AR-A1AO-01,2
318,TCGA-AR-A1AP-01,2
319,TCGA-AR-A1AQ-01,2
320,TCGA-AR-A1AR-01,2
321,TCGA-AR-A1AS-01,2
322,TCGA-AR-A1AT-01,2
323,TCGA-AR-A1AU-01,2
324,TCGA-AR-A1AV-01,2
325,TCGA-AR-A1AW-01,2
326,TCGA-AR-A1AX-01,2
327,TCGA-AR-A1AY-01,2
328,TCGA-AR-A24H-01,2
329,TCGA-AR-A24K-01,2
330,TCGA-AR-A24L-01,2
331,TCGA-AR-A24M-01,2
332,TCGA-AR-A24N-01,2
333,TCGA-AR-A24O-01,2
334,TCGA-AR-A24P-01,2
335,TCGA-AR-A24Q-01,2
336,TCGA-AR-A24R-01,2
337,TCGA-AR-A24S-01,2
338,TCGA-AR-A24T-01,2
339,TCGA-AR-A24U-01,2
340,TCGA-AR-A24V-01,2
341,TCGA-AR-A24W-01,2
342,TCGA-AR-A24X-01,2
343,TCGA-AR-A24Z-01,2
344,TCGA-AR-A250-01,2
345,TCGA-AR-A251-01,2
346,TCGA-AR-A252-01,2
347,TCGA-AR-A254-01,2
348,TCGA-AR-A255-01,2
349,TCGA-AR-A256-01,2
350,TCGA-AR-A2LE-01,2
351,TCGA-AR-A2LH-01,2
352,TCGA-AR-A2LK-01,2
353,TCGA-AR-A2LL-01,2
354,TCGA-AR-A2LM-01,2
355,TCGA-AR-A2LN-01,2
356,TCGA-AR-A2LO-01,2
357,TCGA-AR-A2LQ-01,2
358,TCGA-AR-A2LR-01,2
359,TCGA-AR-A5QM-01,2
360,TCGA-AR-A5QN-01,2
361,TCGA-AR-A5QP-01,2
362,TCGA-AR-A5QQ-01,2
363,TCGA-B6-A0I1-01,2
364,TCGA-B6-A0I2-01,2
365,TCGA-B6-A0I5-01,2
366,TCGA-B6-A0I6-01,2
367,TCGA-B6-A0I8-01,2
368,TCGA-B6-A0I9-01,2
369,TCGA-B6-A0IA-01,2
370,TCGA-B6-A0IB-01,2
371,TCGA-B6-A0IC-01,2
372,TCGA-B6-A0IE-01,2
373,TCGA-B6-A0IH-01,2
374,TCGA-B6-A0IJ-01,2
375,TCGA-B6-A0IK-01,2
376,TCGA-B6-A0IM-01,2
377,TCGA-B6-A0IN-01,2
378,TCGA-B6-A0RE-01,2
379,TCGA-B6-A0RG-01,2
380,TCGA-B6-A0RH-01,2
381,TCGA-B6-A0RI-01,2
382,TCGA-B6-A0RN-01,2
383,TCGA-B6-A0RO-01,2
384,TCGA-B6-A0RP-01,2
385,TCGA-B6-A0RQ-01,2
386,TCGA-B6-A0RT-01,2
387,TCGA-B6-A0RU-01,2
388,TCGA-B6-A0RV-01,2
389,TCGA-B6-A0WS-01,2
390,TCGA-B6-A0WT-01,2
391,TCGA-B6-A0WV-01,2
392,TCGA-B6-A0WW-01,2
393,TCGA-B6-A0WX-01,2
394,TCGA-B6-A0WY-01,2
395,TCGA-B6-A0WZ-01,2
396,TCGA-B6-A0X0-01,2
397,TCGA-B6-A0X1-01,2
398,TCGA-B6-A0X4-01,2
399,TCGA-B6-A0X5-01,2
400,TCGA-B6-A1KC-01,2
401,TCGA-B6-A1KF-01,2
402,TCGA-B6-A1KI-01,2
403,TCGA-B6-A1KN-01,2
404,TCGA-B6-A2IU-01,2
405,TCGA-B6-A401-01,2
406,TCGA-B6-A409-01,2
407,TCGA-B6-A40B-01,2
408,TCGA-B6-A40C-01,2
409,TCGA-BH-A0AU-01,2
410,TCGA-BH-A0AV-01,2
411,TCGA-BH-A0AW-01,2
412,TCGA-BH-A0AY-01,2
413,TCGA-BH-A0AZ-01,2
414,TCGA-BH-A0B0-01,2
415,TCGA-BH-A0B1-01,2
416,TCGA-BH-A0B3-01,2
417,TCGA-BH-A0B4-01,2
418,TCGA-BH-A0B5-01,2
419,TCGA-BH-A0B6-01,2
420,TCGA-BH-A0B7-01,2
421,TCGA-BH-A0B8-01,2
422,TCGA-BH-A0B9-01,2
423,TCGA-BH-A0BA-01,2
424,TCGA-BH-A0BC-01,2
425,TCGA-BH-A0BD-01,2
426,TCGA-BH-A0BF-01,2
427,TCGA-BH-A0BG-01,2
428,TCGA-BH-A0BJ-01,2
429,TCGA-BH-A0BL-01,2
430,TCGA-BH-A0BM-01,2
431,TCGA-BH-A0BO-01,2
432,TCGA-BH-A0BP-01,2
433,TCGA-BH-A0BQ-01,2
434,TCGA-BH-A0BR-01,2
435,TCGA-BH-A0BS-01,2
436,TCGA-BH-A0BT-01,2
437,TCGA-BH-A0BV-01,2
438,TCGA-BH-A0BW-01,2
439,TCGA-BH-A0BZ-01,2
440,TCGA-BH-A0C0-01,2
441,TCGA-BH-A0C1-01,2
442,TCGA-BH-A0C3-01,2
443,TCGA-BH-A0C7-01,2
444,TCGA-BH-A0DD-01,2
445,TCGA-BH-A0DE-01,2
446,TCGA-BH-A0DG-01,2
447,TCGA-BH-A0DH-01,2
448,TCGA-BH-A0DI-01,2
449,TCGA-BH-A0DK-01,2
450,TCGA-BH-A0DL-01,2
451,TCGA-BH-A0DO-01,2
452,TCGA-BH-A0DP-01,2
453,TCGA-BH-A0DQ-01,2
454,TCGA-BH-A0DS-01,2
455,TCGA-BH-A0DT-01,2
456,TCGA-BH-A0DV-01,2
457,TCGA-BH-A0DX-01,2
458,TCGA-BH-A0DZ-01,2
459,TCGA-BH-A0E0-01,2
460,TCGA-BH-A0E1-01,2
461,TCGA-BH-A0E2-01,2
462,TCGA-BH-A0E7-01,2
463,TCGA-BH-A0E9-01,2
464,TCGA-BH-A0EA-01,2
465,TCGA-BH-A0EB-01,2
466,TCGA-BH-A0EE-01,2
467,TCGA-BH-A0EI-01,2
468,TCGA-BH-A0GY-01,2
469,TCGA-BH-A0GZ-01,2
470,TCGA-BH-A0H0-01,2
471,TCGA-BH-A0H3-01,2
472,TCGA-BH-A0H5-01,2
473,TCGA-BH-A0H6-01,2
474,TCGA-BH-A0H7-01,2
475,TCGA-BH-A0H9-01,2
476,TCGA-BH-A0HA-01,2
477,TCGA-BH-A0HB-01,2
478,TCGA-BH-A0HF-01,2
479,TCGA-BH-A0HI-01,2
480,TCGA-BH-A0HK-01,2
481,TCGA-BH-A0HL-01,2
482,TCGA-BH-A0HN-01,2
483,TCGA-BH-A0HO-01,2
