ACH-001396,1
ACH-001392,1
ACH-001391,5
ACH-000568,1
ACH-000910,1
ACH-000097,1
ACH-001390,8
ACH-000711,8
ACH-000721,5
ACH-000148,5
ACH-000212,5
ACH-000768,5
ACH-000755,1
ACH-000668,8
ACH-000934,1
ACH-000828,1
ACH-000288,5
ACH-000330,1
ACH-000927,1
ACH-000859,8
ACH-000258,3
ACH-000554,1
ACH-000849,8
ACH-000277,1
ACH-000147,1
ACH-000691,8
ACH-000725,1
ACH-000019,1
ACH-000017,1
ACH-000028,1
ACH-000856,5
ACH-000857,8
ACH-000248,1
ACH-000374,8
ACH-000642,7
ACH-000902,1
ACH-000573,5
ACH-000759,1
ACH-000876,1
ACH-000930,8
ACH-000699,5
ACH-000643,8
ACH-000536,8
ACH-000783,1
ACH-000818,1
ACH-000044,1
ACH-000223,8
ACH-000117,1
ACH-000276,8
ACH-000111,8
ACH-000196,8
ACH-000621,5
ACH-000624,7
ACH-000352,1
ACH-000349,1
ACH-000470,6
ACH-000958,3
ACH-000820,6
ACH-000991,6
ACH-001458,6
ACH-000489,6
ACH-000970,3
ACH-001456,6
ACH-000935,5
ACH-001460,6
ACH-000421,3
ACH-001454,4
ACH-000943,5
ACH-001399,3
ACH-000959,6
ACH-000552,6
ACH-000997,3
ACH-000971,3
ACH-000722,6
ACH-000680,6
ACH-000842,3
ACH-000926,6
ACH-000403,3
ACH-000708,6
ACH-000400,6
ACH-000007,6
ACH-000957,6
ACH-000989,6
ACH-000798,6
ACH-000009,3
ACH-000963,6
ACH-000491,5
ACH-000986,6
ACH-000236,3
ACH-000985,6
ACH-000651,3
ACH-000360,6
ACH-000467,6
ACH-000501,3
ACH-000532,6
ACH-000003,3
ACH-000982,6
ACH-000998,6
ACH-000252,6
ACH-000999,6
ACH-000969,6
ACH-000381,6
ACH-000253,3
ACH-000955,6
ACH-000950,6
ACH-000350,3
ACH-000249,3
ACH-000089,6
ACH-000683,7
ACH-000286,3
ACH-000412,3
ACH-000202,5
ACH-000342,3
ACH-000565,3
ACH-000895,6
ACH-000967,8
ACH-000296,8
ACH-000813,4
ACH-000677,5
ACH-001041,0
ACH-000858,7
ACH-000667,5
ACH-000769,7
ACH-000575,4
ACH-000681,5
ACH-000749,2
ACH-000878,5
ACH-000528,8
ACH-000367,5
ACH-000511,5
ACH-000779,8
ACH-000311,7
ACH-000752,5
ACH-000731,5
ACH-000438,4
ACH-000481,7
ACH-000851,8
ACH-000872,5
ACH-000496,5
ACH-000176,5
ACH-000339,5
ACH-000251,5
ACH-000187,2
ACH-000596,4
ACH-000852,3
ACH-000463,5
ACH-000825,5
ACH-000853,5
ACH-000672,5
ACH-000444,5
ACH-000448,7
ACH-000515,2
ACH-001386,2
ACH-000553,4
ACH-000757,5
ACH-000029,4
ACH-000064,7
ACH-000700,5
ACH-000337,4
ACH-000861,5
