ClustMethod,Drug,Group_Pair,padj_1,diff,lwr,upr,padj_2
1,PF-05212384_2.5_BRD-K07955840-001-02-3,G_6-2,2.20595786415423e-06,-1.3051909464648,-2.00966368272446,-0.600718210205144,0.00204692078870266
1,falecalcitriol_2.5_BRD-K08251020-001-01-0,G_4-2,5.25327416767141e-06,0.515929210730455,0.228247148062779,0.803611273398131,0.0041008058776494
1,trametinib_2.5_BRD-K12343256-001-08-9,G_3-1,3.56302576332013e-08,-2.21940005938214,-3.26542432929946,-1.17337578946482,7.78782417841425e-05
1,PLX-4720_2.5_BRD-K16478699-001-09-2,G_3-1,2.50938916783738e-05,-0.973905618625,-1.5534513938383,-0.394359843411703,0.0143499127773342
1,PLX-4720_2.5_BRD-K16478699-001-09-2,G_3-2,2.5699212757857e-09,-0.878364321010965,-1.26331343242158,-0.493415209600352,8.15394570463645e-06
1,PLX-4720_2.5_BRD-K16478699-001-09-2,G_4-3,2.0834264957692e-07,0.838474844125,0.421154189456651,1.25579549879335,0.000330518811727205
1,PLX-4720_2.5_BRD-K16478699-001-09-2,G_6-3,3.07901087182039e-07,0.792646438930625,0.393092331524526,1.19220054633673,0.000420618543514597
1,LY2874455_2.5_BRD-K17203476-001-01-9,G_4-3,3.91125101434353e-05,-1.41143328415,-2.26815881252278,-0.554707755777215,0.0200366055869167
1,PD-168393_2.5_BRD-K17702546-001-03-2,G_3-2,1.52826196697653e-07,0.912618105856895,0.462787487624169,1.36244872408962,0.000253436986587521
1,PD-168393_2.5_BRD-K17702546-001-03-2,G_6-3,1.39516933961303e-06,-0.882458426712501,-1.35102433712856,-0.413892516296446,0.00144448490427009
1,JTC-801_2.5_BRD-K17705806-003-04-4,G_4-3,1.14432303618406e-05,1.154161342675,0.489771862480786,1.81855082286921,0.00798250533283629
1,saracatinib_2.5_BRD-K19540840-001-09-4,G_3-2,7.39333073370707e-05,0.79525237952224,0.298061972404483,1.29244278664,0.0318944396625421
1,saracatinib_2.5_BRD-K19540840-001-09-4,G_6-3,6.47960743529463e-05,-0.833570606965417,-1.35146882535822,-0.315672388572615,0.0291014259415849
1,GGTI-298_2.5_BRD-K19669037-001-01-1,G_4-3,6.54690915453671e-05,0.5364928513875,0.203165067926736,0.869820634848264,0.0291387849248818
1,GGTI-298_2.5_BRD-K19669037-001-01-1,G_6-3,2.09117349248e-06,0.592690836467917,0.273553780814246,0.911827892121587,0.00197096675795282
1,lapatinib_2.5_BRD-K19687926-379-07-4,G_3-2,1.51267887105178e-09,0.793844214426636,0.450596300937104,1.13709212791617,4.95946894663037e-06
1,lapatinib_2.5_BRD-K19687926-379-07-4,G_4-2,6.55179912545378e-08,0.714885591594136,0.371637678104604,1.05813350508367,0.000123927280457958
1,lapatinib_2.5_BRD-K19687926-379-07-4,G_6-3,3.68581005205648e-06,-0.649623398704584,-1.00716747099231,-0.292079326416858,0.00307227885678111
1,lapatinib_2.5_BRD-K19687926-379-07-4,G_6-4,7.73264391900064e-05,-0.570664775872084,-0.928208848159809,-0.213120703584358,0.0329249952634227
1,SKI-II_2.5_BRD-K20755323-001-05-9,G_2-1,2.81557100126895e-05,0.650275266332265,0.261313322700142,1.03923720996439,0.0155580860979108
1,mitoxantrone_2.5_BRD-K21680192-300-14-4,G_3-0,1.22324839960664e-05,-2.9791179175,-4.69856942364465,-1.25966641135535,0.00836968940511226
1,mitoxantrone_2.5_BRD-K21680192-300-14-4,G_4-0,5.871384150824e-05,-2.7805995325,-4.50005103864464,-1.06114802635535,0.0272404529389975
1,mitoxantrone_2.5_BRD-K21680192-300-14-4,G_6-0,1.35354485218953e-05,-2.94405352708333,-4.65042916660857,-1.23767788755809,0.00905659622936447
1,U-18666A_2.5_BRD-K22025381-003-01-9,G_3-2,1.37779370146252e-06,0.789191661337756,0.370336480400148,1.20804684227536,0.00144167056264309
1,U-18666A_2.5_BRD-K22025381-003-01-9,G_4-2,1.61962176692398e-06,0.784611087867756,0.365755906930148,1.20346626880536,0.00165940372657405
1,AV-412_2.5_BRD-K23190681-001-01-1,G_6-3,9.71966676366343e-06,-1.3096484529875,-2.05843184923919,-0.560865056735809,0.00697815316452852
1,GSK2110183_2.5_BRD-K25412176-001-01-9,G_4-2,3.67337200102291e-06,0.814227383567589,0.366203910663436,1.26225085647174,0.00307227885678111
1,PD-153035_2.5_BRD-K26603252-003-04-9,G_3-2,3.76916490323342e-05,0.637681797775001,0.251459424321272,1.02390417122873,0.0196152127805414
1,PD-153035_2.5_BRD-K26603252-003-04-9,G_4-2,6.28102207961279e-05,0.622843723555001,0.236621350101272,1.00906609700873,0.028485920523328
1,TAK-733_2.5_BRD-K26667523-001-02-5,G_3-1,3.33571091359897e-06,-2.41426333065357,-3.73783800936707,-1.09068865194007,0.00285299003512841
1,BIX-01294_2.5_BRD-K26818574-305-04-3,G_3-2,6.14675950139088e-08,-1.16816139591345,-1.72796506912375,-0.608357722703143,0.000120916594207561
1,BIX-01294_2.5_BRD-K26818574-305-04-3,G_4-3,4.04552924493373e-09,1.372841898915,0.763793647629448,1.98189015020055,1.20578838022179e-05
1,BIX-01294_2.5_BRD-K26818574-305-04-3,G_6-3,1.13115012911891e-08,1.2780625222225,0.694943216510118,1.86118182793488,2.78144160999694e-05
